,username,following,followers,totaltweets,retweetcount,retweeters
11,Jayaprakashnyak,335,16,265,0,[]
12,nandini051,3445,2069,33765,4,"['shivani17615311', 'RightToVoicee', 'ShyamaV1', 'AdnanMa47574375']"
13,KachruRachna,1174,1373,63621,4,"['KiHoya2', 'SandySR64457040', 'RightToVoicee', 'Bakshi4ever']"
14,ApurvaU21,1899,14859,173273,262,"['RightToVoicee', 'keesain99', 'KachruRachna', 'prantiksarkar9', 'RamaR26981855', 'anjutrainer44', 'riiiiiiisee', 'itsSSR_Fr', 'ArvindSingh_JHC', 'akash_in_sky', 'ManishK91071785', 'Shireen22337881', 'its_ssr_shahil', 'TomBhaiSSRian', 'INileshgupta', 'LenoAndro', 'pravinshelke89', 'shashis70135078', 'PreciseNature', 'Singaporelah1']"
15,PureLove4SSR,214,314,14377,20,"['RajeshK49676278', 'warrior_of_SSR', 'hema92163376', 'ManishK91071785', 'Sushant76121260', 'BappaManab', 'Khushi4justice', 'Patriot22157072', 'RomanReigns_123', 'nishac12300', 'San7155872322', 'SushantLeague', 'RAVIPAN59267102', 'MedhavixSush', 'AdityaC20727886', 'Bakshi4ever', 'its_ssrwarrior', 'Abhishe85710311', 'N_speaks_truth', 'its_Rishika_']"
16,Bakshi4ever,1234,1740,296747,8,"['warrior_of_SSR', 'RomanReigns_123', 'itssSSR___', 'PureLove4SSR', 'Fightersushant1', 'Anshu_AMU', 'nuthan_ch', 'NidhiSi46637635']"
17,itsshilpasamai,396,1879,23831,7,"['KiHoya2', 'sp84070', 'hema92163376', 'SowmyaAnanthan', 'Bakshi4ever', 'RajeshK49676278', 'khushirupa']"
18,BurbakBabaJumla,5,14,1786,0,[]
19,sulakshana9711,366,326,60413,12,"['keesain99', 'sumi53983155', 'Patriot22157072', 'RomanReigns_123', 'KiHoya2', 'SushABelieber', 'RAVIPAN59267102', 'RushabhRao13', 'kundu_koushani', 'Abhishe50965999', 'SsrRishitshreya', 'Abhishe85710311']"
20,Sushantify,3608,8423,67683,278,"['ShyamaV1', 'arun_tweeter_', '975Muskaan', 'NithishKandepi', 'BhartiyaNaariii', 'Apurb_K', 'aviral_jha6', 'LenoAndro', 'RIDDHI56987171', 'prabhupp01', 'SumanCh25649817', 'peacock613', 'manoj_p_thakur', 'KhushiBakshi24', 'Priya25712459', 'mayavi66', 'AroraHota', 'Patriot22157072', 'Devansh50835761', 'Dolly18879655']"
